Day,Area,Price/Block,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,Price,lat,long
2,Gujarat,119.68,900,88,18,119.68,4.78,598.4,23,72
2,Haryana,19.52,900,75,13,19.52,0.58,97.6,29.3,76
2,Himachal Pradesh,9.47,900,61,-1,9.47,0,47.35,31.79,77.1
2,Karnataka,90.9,900,50,-20,90.9,0,454.5,15,75
2,Kerala,42.79,900,106,44,42.79,3.85,213.95,10,76.25
2,Madhya Pradesh,47.16,900,25,-37,46.7,0,233.5,23.3,80
2,Maharashtra,151.56,900,25,-45,141.65,0,708.25,20,76
2,North East,5.85,900,0,-44,5.8,0,29,28,95
2,Odisha,24.02,900,25,-6,24.02,0,120.1,26,94.2
2,Punjab,66.11,900,77,-1,66.11,0,330.55,30.8,75.5
2,Rajasthan,65.13,900,102,40,65.13,5.21,325.65,27,74
2,Uttar Pradesh E,62.82,900,62,31,62.82,4.39,314.1,26,82
2,Uttar Pradesh W,88.14,900,61,30,88.14,5.28,440.7,28,80
2,West Bengal,22.64,900,22,0,22.64,0.22,113.2,23,87
2,Andhra Pradesh,39.15,1800,16,-3,38.01,0,190.05,16,80
2,Bihar,12.4,1800,0,-10,0,0,0,25.11,85.32
2,Gujarat,47.6,1800,0,-17,0,0,0,23,72
2,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
2,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
2,Karnataka,37,1800,8,-1,37,0,185,15,75
2,Kerala,15,1800,0,-5,0,0,0,10,76.25
2,Kolkata,14.74,1800,0,-35,14.6,0,73,22.56263,88.36304
2,North East,2.2,1800,0,-42,0,0,0,28,95
2,Odisha,4.6,1800,50,-31,4.6,0,23,26,94.2
2,Punjab,14.34,1800,0,-8,14.2,0,71,30.8,75.5
2,Rajasthan,12,1800,0,-52,0,0,0,27,74
2,Tamil Nadu,45,1800,25,-70,45,0,225,11,78
2,Uttar Pradesh E,19.4,1800,0,-21,0,0,0,26,82
2,Uttar Pradesh W,19,1800,0,-11,0,0,0,28,80
2,Andhra Pradesh,1375,2100,0,-1,0,0,0,16,80
2,Assam,164.82,2100,1,0,164.82,1.64,32.964,26.2006043,92.9375739
2,Delhi,3315,2100,0,-1,0,0,0,28.38,77.12
2,Gujarat,1302.9,2100,0,-1,1290,0,258,23,72
2,Haryana,232.3,2100,0,-1,230,0,46,29.3,76
2,Karnataka,1610,2100,0,-1,0,0,0,15,75
2,Kerala,594.45,2100,0,-1,588.57,0,117.714,10,76.25
2,Kolkata,583.74,2100,0,-1,577.97,0,115.594,22.56263,88.36304
2,Madhya Pradesh,461.31,2100,0,-1,456.75,0,91.35,23.3,80
2,Maharashtra,1520.05,2100,0,-1,1505,0,301,20,76
2,Mumbai,3245,2100,0,-1,0,0,0,19.07283,72.88261
2,North East,45.45,2100,1,0,45.45,0.45,9.09,29,95
2,Odisha,182.06,2100,0,-1,180.26,0,36.052,26,94.2
2,Rajasthan,509.06,2100,1,0,509.06,5.09,101.812,27,74
2,Tamil Nadu,1737.2,2100,0,-1,1720,0,344,11,78
2,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,90.3,26,82
2,Uttar Pradesh W,520.15,2100,0,-1,515,0,103,28,80
3,Andhra Pradesh,292.5,800,7,2,292.5,5.85,234,16,80
3,Assam,35.35,800,4,-7,35,0,28,26.2006043,92.9375739
3,Bihar,106.25,800,0,-4,0,0,0,25.11,85.32
3,Delhi,771.25,800,0,-3,0,0,0,28.38,77.12
3,Gujarat,343.75,800,0,-2,0,0,0,23,72
3,Haryana,47.5,800,10,4,47.5,1.9,38,29.3,76
3,Himachal Pradesh,23.75,800,4,-3,23.75,0,19,31.79,77.1
3,Kashmir,35,800,8,1,35,0.35,28,33.94,76.54
3,Karnataka,378.75,800,0,-1,0,0,0,15,75
3,Kolkata,183.75,800,0,-1,0,0,0,22.56263,88.36304
3,Madhya Pradesh,154.14,800,4,-1,154.14,0,123.312,23.3,80
3,Maharashtra,432.25,800,0,-3,427.98,0,342.384,20,76
3,Mumbai,634.02,800,0,-6,576.39,0,461.112,19.07283,72.88261
3,North East,13.88,800,4,-7,13.75,0,11,28,95
3,Odisha,47.5,800,14,8,47.5,3.8,38,26,94.2
3,Punjab,106.25,800,0,-3,0,0,0,30.8,75.5
3,Tamil Nadu,450,800,0,-1,0,0,0,11,78
3,Uttar Pradesh E,167.5,800,0,-3,0,0,0,26,82
3,Uttar Pradesh W,118.75,800,0,-1,0,0,0,28,80
3,West Bengal,71.25,800,0,-1,0,0,0,23,87
3,Andhra Pradesh,144.31,900,45,-25,136.15,0,680.75,16,80
3,Assam,18.52,900,25,-6,18.34,0,91.7,26.2006043,92.9375739
3,Bihar,80.56,900,6,-25,76.73,0,383.65,25.11,85.32
3,Gujarat,129.43,900,88,18,129.43,5.17,647.15,23,72
3,Haryana,23.68,900,81,19,23.68,0.94,118.4,29.3,76
3,Himachal Pradesh,9.47,900,61,-1,9.47,0,47.35,31.79,77.1
3,Karnataka,105.19,900,100,30,105.19,6.31,525.95,15,75
3,Kerala,67.78,900,60,-2,67.78,0,338.9,10,76.25
3,Madhya Pradesh,53.06,900,75,13,53.06,1.59,265.3,23.3,80
3,Maharashtra,151.56,900,31,-39,141.65,0,708.25,20,76
3,North East,5.85,900,0,-44,5.8,0,29,28,95
3,Odisha,27.53,900,6,-25,26.48,0,132.4,26,94.2
3,Punjab,66.11,900,77,-1,66.11,0,330.55,30.8,75.5
3,Rajasthan,74.63,900,25,-37,73.9,0,369.5,27,74
3,Uttar Pradesh E,75.57,900,56,25,75.57,3.77,377.85,26,82
3,Uttar Pradesh W,99.02,900,25,-6,99.02,0,495.1,28,80
3,West Bengal,24,900,22,0,24,0.24,120,23,87
3,Andhra Pradesh,43.17,1800,16,-3,42.75,0,213.75,16,80
3,Bihar,12.4,1800,0,-10,0,0,0,25.11,85.32
3,Gujarat,47.6,1800,0,-17,0,0,0,23,72
3,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
3,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
3,Karnataka,37,1800,8,-1,37,0,185,15,75
3,Kerala,15,1800,0,-5,0,0,0,10,76.25
3,Kolkata,15.03,1800,0,-35,14.74,0,73.7,22.56263,88.36304
3,North East,2.2,1800,0,-42,0,0,0,28,95
3,Odisha,4.6,1800,50,-31,4.6,0,23,26,94.2
3,Punjab,14.34,1800,0,-8,14.2,0,71,30.8,75.5
3,Rajasthan,12,1800,0,-52,0,0,0,27,74
3,Tamil Nadu,45,1800,50,-45,45,0,225,11,78
3,Uttar Pradesh E,19.4,1800,0,-21,0,0,0,26,82
3,Uttar Pradesh W,19,1800,0,-11,0,0,0,28,80
3,Andhra Pradesh,1375,2100,0,-1,0,0,0,16,80
3,Assam,168.12,2100,0,-1,166.46,0,33.292,26.2006043,92.9375739
3,Delhi,3315,2100,0,-1,0,0,0,28.38,77.12
3,Gujarat,1302.9,2100,0,-1,1290,0,258,23,72
3,Haryana,232.3,2100,0,-1,230,0,46,29.3,76
3,Karnataka,1610,2100,0,-1,0,0,0,15,75
3,Kerala,594.45,2100,0,-1,588.57,0,117.714,10,76.25
3,Kolkata,583.74,2100,0,-1,577.97,0,115.594,22.56263,88.36304
3,Madhya Pradesh,461.31,2100,0,-1,456.75,0,91.35,23.3,80
3,Maharashtra,1520.05,2100,0,-1,1505,0,301,20,76
3,Mumbai,3245,2100,0,-1,0,0,0,19.07283,72.88261
3,North East,48.21,2100,1,0,48.21,0.48,9.642,29,95
3,Odisha,182.06,2100,0,-1,180.26,0,36.052,26,94.2
3,Rajasthan,540.36,2100,1,0,540.36,5.4,108.072,27,74
3,Tamil Nadu,1737.2,2100,0,-1,1720,0,344,11,78
3,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,90.3,26,82
3,Uttar Pradesh W,520.15,2100,0,-1,515,0,103,28,80
4,Andhra Pradesh,335.19,800,4,-1,325.43,0,260.344,16,80
4,Assam,35.35,800,12,1,35.35,0.35,28.28,26.2006043,92.9375739
4,Bihar,106.25,800,0,-4,0,0,0,25.11,85.32
4,Delhi,778.96,800,0,-3,771.25,0,617,28.38,77.12
4,Gujarat,343.75,800,3,1,343.75,3.43,275,23,72
4,Haryana,49.89,800,5,-1,49.4,0,39.52,29.3,76
4,Himachal Pradesh,24.46,800,6,-1,24.46,0,19.568,31.79,77.1
4,Kashmir,36.05,800,2,-5,35.35,0,28.28,33.94,76.54
4,Karnataka,378.75,800,0,-1,0,0,0,15,75
4,Kolkata,183.75,800,0,-1,0,0,0,22.56263,88.36304
4,Madhya Pradesh,171.46,800,4,-1,171.46,0,137.168,23.3,80
4,Maharashtra,440.89,800,3,0,440.89,4.4,352.712,20,76
4,Mumbai,691.08,800,4,-2,691.08,0,552.864,19.07283,72.88261
4,North East,13.88,800,12,1,13.88,0.13,11.104,28,95
4,Odisha,51.3,800,11,5,51.3,2.56,41.04,26,94.2
4,Punjab,106.25,800,4,1,106.25,1.06,85,30.8,75.5
4,Tamil Nadu,450,800,0,-1,0,0,0,11,78
4,Uttar Pradesh E,167.5,800,0,-3,0,0,0,26,82
4,Uttar Pradesh W,118.75,800,0,-1,0,0,0,28,80
4,West Bengal,71.96,800,0,-1,71.25,0,57,23,87
4,Andhra Pradesh,144.31,900,45,-25,136.15,0,680.75,16,80
4,Assam,20.42,900,50,19,20.42,0.81,102.1,26.2006043,92.9375739
4,Bihar,81.36,900,25,-6,80.56,0,402.8,25.11,85.32
4,Gujarat,146.71,900,25,-45,134.6,0,673,23,72
4,Haryana,27.68,900,25,-37,26.88,0,134.4,29.3,76
4,Himachal Pradesh,10.43,900,86,24,10.43,0.52,52.15,31.79,77.1
4,Karnataka,122.65,900,44,-26,111.5,0,557.5,15,75
4,Kerala,74.61,900,30,-32,73.88,0,369.4,10,76.25
4,Madhya Pradesh,61.9,900,50,-12,61.9,0,309.5,23.3,80
4,Maharashtra,151.56,900,35,-35,141.65,0,708.25,20,76
4,North East,5.85,900,0,-44,5.8,0,29,28,95
